resampler,model,roc_auc,mse,recall,precision,balanced accuracy
SMOTEENN,XGB,0.7464680308133116,0.2564429530201342,0.6945856634468734,0.79398518088043,0.7464680308133116
SMOTE,XGB,0.7590914552574823,0.24080536912751677,0.7609303507880021,0.7781388094619184,0.7590914552574823
AllKNN,XGB,0.7478169012251639,0.25912751677852347,0.6240467717336045,0.8446585239979356,0.747816901225164
RandomUnderSampler,XGB,0.7601042557720015,0.24046979865771811,0.7498729028978139,0.7850964737192282,0.7601042557720015
SMOTEENN,Log,0.7428897557711338,0.2601342281879195,0.6889933909506863,0.7913868613138686,0.7428897557711338
SMOTE,Log,0.749912882816761,0.2495973154362416,0.7586426029486528,0.7663371421235076,0.7499128828167609
AllKNN,Log,0.7395582284023128,0.2669798657718121,0.6230299949161159,0.8288806222522828,0.7395582284023128
RandomUnderSampler,Log,0.7512100974382199,0.24899328859060402,0.7475851550584647,0.7733368393373652,0.7512100974382199
SMOTEENN,Dec,0.720328754945798,0.2861073825503356,0.6056176919166243,0.8042194092827004,0.720328754945798
SMOTE,Dec,0.7289952518604761,0.27369127516778524,0.68111337061515,0.773527713625866,0.7289952518604761
AllKNN,Dec,0.7223818647617428,0.2840268456375839,0.6081596339603457,0.8063700707785642,0.7223818647617428
RandomUnderSampler,Dec,0.7296360873063106,0.27355704697986577,0.6727249618708694,0.7790697674418605,0.7296360873063107
SMOTEENN,KNe,0.7095276340043017,0.2946979865771812,0.6342145399084901,0.7673381516223281,0.709527634004302
SMOTE,KNe,0.6836205742302022,0.31771812080536915,0.6597610574478902,0.7161975717439294,0.6836205742302022
AllKNN,KNe,0.6845269182697674,0.32375838926174494,0.5368581596339603,0.7816432272390822,0.6845269182697674
RandomUnderSampler,KNe,0.6810417610134917,0.3208724832214765,0.6469242501270971,0.7176089101931482,0.6810417610134917
